0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	1
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	1
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	1
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	1
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	1
136	0
137	1
138	0
139	0
140	0
141	0
142	1
143	0
144	0
145	0
146	0
147	1
148	0
149	0
150	0
151	0
152	1
153	0
154	0
155	0
156	1
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	2
166	0
167	1
168	1
169	0
170	0
171	1
172	2
173	0
174	3
175	1
176	0
177	0
178	0
179	0
180	0
181	0
182	1
183	1
184	0
185	3
186	2
187	0
188	0
189	0
190	2
191	3
192	3
193	1
194	1
195	2
196	1
197	1
198	2
199	3
200	2
201	0
202	1
203	0
204	1
205	3
206	1
207	2
208	4
209	0
210	0
211	1
212	1
213	2
214	3
215	2
216	1
217	1
218	1
219	4
220	1
221	4
222	1
223	3
224	1
225	0
226	2
227	3
228	1
229	5
230	2
231	3
232	2
233	2
234	2
235	0
236	1
237	2
238	2
239	0
240	0
241	4
242	1
243	2
244	4
245	1
246	2
247	1
248	0
249	1
250	3
251	2
252	1
253	0
254	2
255	0
256	1
257	3
258	0
259	0
260	0
261	0
262	3
263	0
264	1
265	0
266	0
267	1
268	0
269	0
270	1
271	0
272	0
273	2
274	1
275	1
276	0
277	0
278	0
279	1
280	3
281	0
282	0
283	1
284	0
285	0
286	0
287	2
288	0
289	1
290	0
291	1
292	0
293	3
294	0
295	0
296	1
297	1
298	2
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	1
308	0
309	0
310	0
311	0
312	1
313	0
314	0
315	0
316	0
317	1
318	0
319	0
320	1
321	1
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	1
330	0
331	1
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	1
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	1
349	0
350	0
351	0
352	0
353	0
354	0
355	1
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	1
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	2
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	1
393	0
394	1
395	5
396	14
397	39
398	52
399	90
400	71
401	71
402	60
403	68
404	66
405	66
406	63
407	66
408	63
409	84
410	86
411	75
412	75
413	77
414	75
415	75
416	62
417	80
418	89
419	94
420	69
421	87
422	102
423	83
424	92
425	87
426	84
427	73
428	89
429	86
430	108
431	86
432	96
433	95
434	99
435	83
436	108
437	93
438	123
439	89
440	110
441	87
442	87
443	105
444	78
445	107
446	93
447	121
448	102
449	113
450	86
451	95
452	106
453	123
454	104
455	103
456	120
457	118
458	94
459	99
460	98
461	105
462	105
463	133
464	106
465	104
466	108
467	127
468	121
469	136
470	120
471	107
472	115
473	127
474	117
475	112
476	123
477	126
478	141
479	144
480	117
481	130
482	129
483	127
484	134
485	136
486	132
487	130
488	151
489	144
490	131
491	138
492	141
493	141
494	140
495	122
496	148
497	141
498	150
499	150
500	149
501	118
502	143
503	140
504	125
505	148
506	154
507	146
508	148
509	138
510	162
511	136
512	148
513	177
514	146
515	164
516	169
517	176
518	135
519	154
520	144
521	153
522	160
523	150
524	165
525	157
526	152
527	162
528	171
529	149
530	166
531	156
532	151
533	145
