0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	3
69	28
70	97
71	147
72	128
73	134
74	139
75	127
76	144
77	132
78	142
79	152
80	128
81	151
82	147
83	150
84	150
85	131
86	141
87	131
88	160
89	141
90	142
91	149
92	127
93	143
94	145
95	162
96	146
97	154
98	145
99	128
100	164
101	144
102	160
103	149
104	166
105	152
106	167
107	154
108	138
109	164
110	165
111	149
112	137
113	137
114	160
115	154
116	159
117	155
118	139
119	146
120	159
121	158
122	129
123	139
124	144
125	147
126	132
127	134
128	170
129	131
130	147
131	139
132	153
133	148
134	160
135	182
136	142
137	162
138	135
139	161
140	165
141	157
142	161
143	154
144	156
145	176
146	154
147	177
148	141
149	158
150	156
151	155
152	153
153	169
154	149
155	136
156	163
157	174
158	132
159	166
160	177
161	167
162	142
163	180
164	147
165	174
166	195
167	154
168	172
169	155
170	176
171	157
172	150
173	164
174	189
175	167
176	149
177	198
178	162
179	139
180	170
181	173
182	155
183	173
184	175
185	179
186	193
187	170
188	157
189	173
190	161
191	193
192	197
193	160
194	164
195	159
196	173
197	157
198	154
199	159
200	173
201	154
202	153
203	177
204	163
205	164
206	165
207	166
208	158
209	163
210	150
211	174
212	177
213	151
214	172
215	165
216	153
217	202
218	151
219	161
220	176
221	174
222	177
223	169
224	156
225	162
226	148
227	177
228	155
229	157
230	144
231	173
232	159
233	148
234	176
235	150
236	158
237	170
238	171
239	165
240	180
241	140
242	166
243	168
244	159
245	175
246	184
247	161
248	155
249	171
250	158
251	158
252	172
253	168
254	159
255	152
256	164
257	159
258	165
259	181
260	175
261	150
262	173
263	181
264	171
265	181
266	164
267	180
268	155
269	168
270	167
271	169
272	147
273	171
274	165
275	157
276	183
277	190
278	158
279	186
280	187
281	167
282	172
283	169
284	165
285	158
286	152
287	166
288	159
289	166
290	170
291	166
292	174
293	180
294	151
295	171
296	174
297	184
298	166
299	155
300	153
301	140
302	148
303	163
304	148
305	161
306	147
307	155
308	136
309	175
310	165
311	139
312	157
313	187
314	142
315	154
316	151
317	159
318	164
319	169
320	137
321	170
322	165
323	136
324	145
325	166
326	194
327	159
328	156
329	170
330	184
331	159
332	158
333	173
334	176
335	157
336	174
337	185
338	168
339	194
340	156
341	163
342	159
343	157
344	179
345	149
346	172
347	184
348	156
349	162
350	162
351	164
352	161
353	149
354	172
355	164
356	148
357	172
358	156
359	196
360	160
361	166
362	134
363	187
364	157
365	162
366	180
367	168
368	145
369	142
370	158
371	183
372	159
373	181
374	175
375	165
376	169
377	165
378	182
379	180
380	177
381	177
382	156
383	169
384	175
385	163
386	154
387	157
388	192
389	154
390	156
391	188
392	163
393	163
394	184
395	164
396	155
397	186
398	148
399	162
400	162
401	163
402	178
403	165
404	157
405	175
406	187
407	162
408	159
409	171
410	187
411	166
412	139
413	187
414	168
415	160
416	186
417	184
418	147
419	171
420	176
421	169
422	199
423	159
424	170
425	162
426	180
427	179
428	192
429	154
430	182
431	200
432	164
433	173
434	165
435	165
436	154
437	164
438	180
439	161
440	171
441	151
442	162
443	156
444	194
445	179
446	158
447	176
448	167
449	152
450	184
451	149
452	182
453	166
454	174
455	171
456	185
457	157
458	144
459	155
460	172
461	163
462	170
463	175
464	172
465	137
466	168
467	159
468	169
469	146
470	160
471	178
472	156
473	168
474	168
475	154
476	153
477	157
478	186
479	172
480	166
481	154
482	148
483	184
484	173
485	178
486	196
487	173
488	193
489	178
490	177
491	145
492	190
493	152
494	167
495	185
496	162
497	163
498	175
499	172
500	176
501	174
502	158
503	185
504	169
505	150
506	156
507	153
508	174
509	167
510	164
511	161
512	187
513	174
514	187
515	163
516	169
517	159
518	144
519	170
520	159
521	155
522	176
523	175
524	167
525	155
526	155
527	171
528	167
529	177
530	155
531	192
532	185
533	152
